日期,時間,CO2,溫度,濕度
2026-09-21,8:30:01,785,31,65
2026-09-21,8:30:31,743,31,65
2026-09-21,8:32:53,619,31,66
2026-09-21,8:33:23,673,31,66
2026-09-21,8:33:53,747,31,65
2026-09-21,8:34:23,709,31,65
2026-09-21,8:34:53,597,31,65
2026-09-21,8:35:23,599,31,65
2026-09-21,8:35:54,627,31,65
2026-09-21,8:36:24,891,31,65
2026-09-21,8:36:54,717,31,65
2026-09-21,8:37:24,694,31,65
2026-09-21,8:37:54,685,31,64
2026-09-21,8:38:24,669,31,64
2026-09-21,8:38:54,650,31,64
2026-09-21,8:39:24,696,31,64
2026-09-21,8:39:54,723,31,64
2026-09-21,8:40:24,757,31,64
2026-09-21,8:40:54,678,31,64
2026-09-21,8:41:24,671,31,64
2026-09-21,8:41:54,708,31,64
2026-09-21,8:42:24,660,31,64
2026-09-21,8:42:54,785,31,64
2026-09-21,8:43:24,643,31,64
2026-09-21,8:43:54,596,31,64
2026-09-21,8:44:24,598,31,64
2026-09-21,8:44:54,594,31,64
2026-09-21,8:45:24,645,31,64
2026-09-21,8:45:54,601,31,64
2026-09-21,8:46:24,593,31,64
2026-09-21,8:46:54,573,31,64
2026-09-21,8:47:24,640,31,64
2026-09-21,8:47:54,618,31,64
2026-09-21,8:48:24,632,31,64
2026-09-21,8:48:55,617,31,64
2026-09-21,8:49:24,665,31,64
2026-09-21,8:49:55,638,31,64
2026-09-21,8:50:25,660,31,64
2026-09-21,8:50:55,754,31,64
2026-09-21,8:51:25,762,31,63
2026-09-21,8:51:55,655,31,63
2026-09-21,8:52:25,578,31,63
2026-09-21,8:52:55,558,31,63
2026-09-21,8:53:25,554,31,63
2026-09-21,8:53:55,554,31,63
2026-09-21,8:54:25,554,31,63
2026-09-21,8:54:55,558,31,63
2026-09-21,8:55:25,556,31,63
2026-09-21,8:55:55,558,31,63
2026-09-21,8:56:25,554,31,63
2026-09-21,8:56:55,552,31,63
2026-09-21,8:57:25,524,31,63
2026-09-21,9:00:33,658,30.7,63.3
2026-09-21,9:01:03,724,30.8,63.2
2026-09-21,9:01:33,707,30.7,62.8
2026-09-21,9:02:03,652,30.6,63.3
2026-09-21,9:02:33,959,30.6,61.9
2026-09-21,9:03:03,764,30.8,60.3
2026-09-21,9:03:33,703,30.8,59.8
2026-09-21,9:04:03,676,30.9,59.8
2026-09-21,9:04:33,664,30.9,59.8
2026-09-21,9:05:03,668,30.9,60.1
2026-09-21,9:05:33,669,31,60.1
2026-09-21,9:06:03,676,31,60
2026-09-21,9:06:33,679,31,59.9
2026-09-21,9:07:04,682,31,60.1
2026-09-21,9:07:34,684,31,60.2
2026-09-21,9:08:04,688,31,60.1
2026-09-21,9:08:34,681,30.9,60.1
2026-09-21,9:09:04,672,30.9,60.4
2026-09-21,9:09:34,677,30.9,60.6
2026-09-21,9:10:04,685,30.9,60.6
2026-09-21,9:10:34,688,30.9,60.7
2026-09-21,9:11:04,688,30.8,60.7
2026-09-21,9:11:34,679,30.9,60.5
2026-09-21,9:12:04,677,30.9,60.8
2026-09-21,9:12:34,678,30.9,60.8
2026-09-21,9:13:04,682,30.9,60.8
2026-09-21,9:13:34,681,30.9,60.8
2026-09-21,9:14:04,680,30.9,60.7
2026-09-21,9:14:34,680,30.8,60.9
2026-09-21,9:15:04,679,30.9,60.9
2026-09-21,9:15:34,677,30.9,61
2026-09-21,9:16:04,679,30.9,61
2026-09-21,9:16:34,683,30.9,61.1
2026-09-21,9:17:04,688,30.9,61.1
2026-09-21,9:17:34,691,31,61.1
2026-09-21,9:18:04,692,31,61.2
2026-09-21,9:18:35,695,31,61.3
2026-09-21,9:19:05,696,30.9,61.3
2026-09-21,9:19:35,700,30.9,61.5
2026-09-21,9:20:05,703,30.9,61.6
2026-09-21,9:20:35,705,31,61.6
2026-09-21,9:21:05,710,31,61.6
2026-09-21,9:21:35,709,31,61.7
2026-09-21,9:22:05,710,31,61.7
2026-09-21,9:22:35,713,31,61.9
2026-09-21,10:12:29,984,29.9,57.5
2026-09-21,10:12:59,968,29.9,57.2
2026-09-21,10:13:29,965,29.9,57
2026-09-21,10:13:59,965,29.9,56.8
2026-09-21,10:14:29,971,29.9,56.7
2026-09-21,10:17:29,1033,29.9,56.4
2026-09-21,10:18:29,1060,30,56.6
2026-09-21,10:20:59,1089,30,56.4
2026-09-21,10:23:00,1146,30,56.6
2026-09-21,10:31:13,1331,30.2,55.5
2026-09-21,10:32:43,1410,30.2,55.1
2026-09-21,10:33:44,1423,30.3,54.8
2026-09-21,10:34:14,1425,30.3,54.7
2026-09-21,10:34:44,1429,30.3,54.6
2026-09-21,10:35:14,1433,30.4,54.6
2026-09-21,10:35:44,1444,30.4,54.6
2026-09-21,10:36:14,1449,30.4,54.5
2026-09-21,10:36:44,1450,30.4,54.4
2026-09-21,10:40:45,1517,30.3,54.2
2026-09-21,10:42:40,1570,30.4,53.8
2026-09-21,10:43:10,1587,30.3,53.6
2026-09-21,10:43:40,1591,30.4,53.6
2026-09-21,10:44:10,1602,30.4,53.7
2026-09-21,10:44:40,1611,30.4,53.5
2026-09-21,10:54:41,1735,30.3,53.6
2026-09-21,10:55:11,1555,27.3,48.4
2026-09-21,10:56:11,1705,30.4,53.7
2026-09-21,10:56:41,1702,30.4,53.7
2026-09-21,11:07:48,1810,30.5,52.5
2026-09-21,11:08:18,1821,30.5,52.5
2026-09-21,11:09:26,1873,30.5,53.2
2026-09-21,11:09:56,1883,30.6,52.9
2026-09-21,11:10:26,1896,30.6,52.5
2026-09-21,11:10:56,1906,30.5,52.6
2026-09-21,11:11:26,1915,30.5,52.9
2026-09-21,11:11:56,1923,30.5,52.8
2026-09-21,11:12:26,1944,30.4,52.8
2026-09-21,11:12:56,1952,30.5,52.7
2026-09-21,11:13:26,1959,30.5,52.8
2026-09-21,11:13:57,1973,30.5,53
2026-09-21,11:14:27,1992,30.5,52.8
2026-09-21,11:14:57,2005,30.5,52.8
2026-09-21,11:15:27,2007,30.6,52.5
2026-09-21,11:15:57,2007,30.6,52.4
2026-09-21,11:16:27,1996,30.6,52.3
2026-09-21,11:16:57,1992,30.6,52.5
2026-09-21,11:17:27,1991,30.6,52.2
2026-09-21,11:17:57,1995,30.5,51.9
2026-09-21,11:18:27,1994,30.6,52
2026-09-21,11:18:57,1996,30.6,51.8
2026-09-21,11:19:27,1998,30.6,51.9
2026-09-21,11:19:57,2009,30.6,52.2
2026-09-21,11:20:27,2019,30.4,52.8
2026-09-21,11:20:57,2005,30.5,52.7
2026-09-21,11:21:27,2004,30.6,52.5
2026-09-21,11:21:57,2002,30.6,52.6
2026-09-21,11:22:27,2004,30.6,52.6
2026-09-21,11:22:58,2004,30.5,52.5
2026-09-21,11:23:28,2002,30.6,52.5
2026-09-21,11:23:58,2010,30.6,52.4
2026-09-21,11:24:28,2022,30.6,52.4
2026-09-21,11:24:58,2028,30.6,52.3
2026-09-21,11:25:28,2035,30.6,52.3
2026-09-21,11:25:58,2043,30.6,52.2
2026-09-21,13:35:58,2823,27.9,63.8
2026-09-21,13:36:28,1872,27.9,60.2
2026-09-21,13:36:58,2615,28.1,59.6
2026-09-21,13:37:28,2638,28.1,59.8
2026-09-21,13:37:58,2769,28.2,60.4
2026-09-21,13:46:45,2353,28.3,59.7
2026-09-21,13:47:16,2460,28.4,57.4
2026-09-21,13:47:46,2327,28.5,56.8
2026-09-21,13:48:16,2256,28.7,55.8
2026-09-21,13:48:46,2222,28.8,55.5
2026-09-21,13:49:16,2213,28.9,55.2
2026-09-21,13:49:46,2204,28.9,54.8
2026-09-21,13:50:16,2202,29,54.8
2026-09-21,13:50:46,2207,29,54.6
2026-09-21,13:51:16,2205,29,54.5
2026-09-21,13:51:46,2203,29,54.4
2026-09-21,13:52:16,2198,29.1,54.3
2026-09-21,13:52:46,2195,29.1,54.1
2026-09-21,13:53:16,2192,29.2,53.9
2026-09-21,13:53:46,2191,29.2,53.8
2026-09-21,13:54:16,2189,29.2,53.7
2026-09-21,13:54:46,2186,29.2,53.6
2026-09-21,13:55:16,2187,29.2,53.6
2026-09-21,13:55:46,2190,29.2,53.6
2026-09-21,13:56:16,2192,29.2,53.5
2026-09-21,13:56:46,2190,29.2,53.6
2026-09-21,13:57:16,2194,29.1,53.6
2026-09-21,13:57:46,2190,29.1,53.7
2026-09-21,13:58:17,2183,29.1,53.8
2026-09-21,13:58:47,2192,29.1,54
2026-09-21,13:59:17,2199,29.1,54.3
2026-09-21,13:59:47,2029,29.2,54.6
2026-09-21,14:00:17,2198,29.1,55.2
2026-09-21,14:00:47,2199,29.1,55.1
2026-09-21,14:01:17,2177,29.2,55.3
2026-09-21,14:01:47,2171,29.2,55.4
2026-09-21,14:02:17,2174,29.2,55.5
2026-09-21,14:02:47,2177,29.2,55.5
2026-09-21,14:03:17,2177,29.2,55.6
2026-09-21,14:03:47,2180,29.2,55.8
2026-09-21,14:04:17,2179,29.2,55.9
2026-09-21,14:04:47,2178,29.2,56.1
2026-09-21,14:05:18,2178,29.3,56.1
2026-09-21,14:05:48,2180,29.3,56.3
2026-09-21,14:06:18,2185,29.3,56.1
2026-09-21,14:06:48,2189,29.3,56.4
2026-09-21,14:07:18,2194,29.3,56.4
2026-09-21,14:07:48,2199,29.4,56.5
2026-09-21,14:08:18,2203,29.3,56.5
2026-09-21,14:08:48,2207,29.3,56.8
2026-09-21,14:09:18,2220,29.4,56.8
2026-09-21,14:09:48,2221,29.4,56.8
2026-09-21,14:10:18,2236,29.3,57.4
2026-09-21,14:10:48,2234,29.3,57.7
2026-09-21,14:11:18,2237,29.3,57.9
2026-09-21,14:11:48,2218,29.3,57.9
2026-09-21,14:12:18,2177,29.4,57.8
2026-09-21,14:12:48,2181,29.3,57.9
2026-09-21,14:13:18,2193,29.3,58.1
2026-09-21,14:13:48,2190,29.3,58.3
2026-09-21,14:14:18,2180,29.3,58.1
2026-09-21,14:14:49,2166,29.4,57.8
2026-09-21,14:15:19,2152,29.5,57.7
2026-09-21,14:15:49,2153,29.5,57.6
2026-09-21,14:16:19,2158,29.5,57.8
2026-09-21,14:16:49,2166,29.5,58
2026-09-21,14:17:19,2172,29.5,58.1
2026-09-21,14:17:49,2170,29.5,58
2026-09-21,14:18:19,2168,29.6,57.7
2026-09-21,14:18:49,2166,29.6,57.4
2026-09-21,14:19:19,2164,29.6,57.3
2026-09-21,14:19:49,2161,29.6,57.2
2026-09-21,14:20:19,2158,29.7,57.2
2026-09-21,14:20:49,2163,29.7,57.2
2026-09-21,14:21:19,2165,29.6,56.8
2026-09-21,14:21:49,2168,29.7,56.9
2026-09-21,14:22:19,2173,29.7,56.6
2026-09-21,14:22:49,2184,29.7,56.6
2026-09-21,14:23:20,2193,29.7,56.6
2026-09-21,14:23:50,2206,29.7,56.4
2026-09-21,14:24:20,2221,29.8,56.3
2026-09-21,14:24:50,2225,29.8,56.1
2026-09-21,14:25:20,2230,29.8,56
2026-09-21,14:25:50,2242,29.8,55.9
2026-09-21,14:26:20,2254,29.7,56
2026-09-21,14:26:50,2280,29.7,56.3
2026-09-21,14:27:20,2341,29.8,56
2026-09-21,14:27:50,2315,29.8,55.6
2026-09-21,14:28:20,2304,29.8,55.4
2026-09-21,14:28:50,2307,29.8,55.5
2026-09-21,14:29:20,2307,29.8,55.3
2026-09-21,14:29:50,2311,29.9,55.3
2026-09-21,14:30:20,2318,29.9,55.1
2026-09-21,14:30:50,2326,29.8,54.9
2026-09-21,14:31:20,2332,29.8,54.9
2026-09-21,14:31:50,2334,29.8,54.8
2026-09-21,14:32:20,2343,29.8,54.3
2026-09-21,14:32:50,2349,29.7,54.1
2026-09-21,14:33:20,2351,29.8,53.9
2026-09-21,14:33:51,2355,29.8,53.5
2026-09-21,14:34:21,2360,29.7,53.2
2026-09-21,14:34:51,2359,29.7,53.2
2026-09-21,14:35:21,2363,29.7,53
2026-09-21,14:35:51,2365,29.7,53.1
2026-09-21,14:36:21,2368,29.7,53
2026-09-21,14:36:51,2378,29.7,53.1
2026-09-21,14:37:21,2378,29.6,53.1
2026-09-21,14:37:51,2378,29.6,53.1
2026-09-21,14:38:21,2378,29.6,53.2
2026-09-21,14:38:51,2379,29.5,53.5
2026-09-21,14:39:21,2381,29.5,53.2
2026-09-21,14:39:51,2382,29.5,53.2
2026-09-21,14:40:21,2379,29.6,53
2026-09-21,14:40:51,2382,29.6,53.2
2026-09-21,14:41:21,2384,29.6,53
2026-09-21,14:41:51,2398,29.6,53.1
2026-09-21,14:42:21,2406,29.5,53.2
2026-09-21,14:42:51,2410,29.5,53.2
2026-09-21,14:43:21,2413,29.5,53.2
2026-09-21,14:43:51,2413,29.5,53.2
2026-09-21,14:44:21,2415,29.4,53.2
2026-09-21,14:44:51,2421,29.4,53.3
2026-09-21,14:45:22,2425,29.4,53.3
2026-09-21,14:45:52,2442,29.3,53.4
2026-09-21,14:46:22,2439,29.4,53.3
2026-09-21,14:46:52,2436,29.3,53.4
2026-09-21,14:47:22,2439,29.4,53.2
2026-09-21,14:47:52,2440,29.4,53.2
2026-09-21,14:48:22,2443,29.4,53.1
2026-09-21,14:48:52,2446,29.3,53.2
2026-09-21,14:49:22,2445,29.3,53.3
2026-09-21,14:49:52,2446,29.3,53.2
2026-09-21,14:50:22,2448,29.3,53.2
2026-09-21,14:50:52,2447,29.3,53.2
2026-09-21,14:51:22,2457,29.3,53.3
2026-09-21,14:51:52,2474,29.2,53.4
2026-09-21,14:52:22,2483,29.2,53.4
2026-09-21,14:52:52,2478,29.2,53.5
2026-09-21,14:53:22,2465,29.2,53.7
2026-09-21,14:53:52,2466,29.2,54
2026-09-21,14:54:22,2469,29.3,54.3
2026-09-21,14:54:52,2476,29.4,54.5
2026-09-21,14:55:22,2485,29.4,54.7
2026-09-21,14:55:53,2491,29.4,54.8
2026-09-21,14:56:23,2493,29.4,55
2026-09-21,14:56:53,2493,29.4,55.2
2026-09-21,14:57:23,2498,29.4,55.2
2026-09-21,14:57:53,2505,29.4,55.4
2026-09-21,14:58:23,2510,29.5,55.4
2026-09-21,14:58:53,2512,29.5,55.5
2026-09-21,14:59:23,2517,29.5,55.4
2026-09-21,14:59:53,2519,29.6,55.4
2026-09-21,15:00:23,2523,29.6,55.7
2026-09-21,15:00:53,2529,29.5,55.5
2026-09-21,15:01:23,2539,29.5,55.9
2026-09-21,15:01:53,2554,29.5,56
2026-09-21,15:02:23,2545,29.5,56.1
2026-09-21,15:02:53,2554,29.5,56.4
2026-09-21,15:03:23,2560,29.5,56.6
2026-09-21,15:03:53,2567,29.5,56.7
2026-09-21,15:04:23,2570,29.4,56.7
2026-09-21,15:04:53,2568,29.5,56.7
2026-09-21,15:05:23,2567,29.5,56.7
2026-09-21,15:05:53,2576,29.5,57.2
2026-09-21,15:06:23,2752,29.5,58.4
2026-09-22,8:28:00,1189,28.3,74.3
2026-09-22,8:28:30,728,28.5,70.6
2026-09-22,8:29:00,657,28.7,69.9
2026-09-22,8:29:30,630,28.9,68.7
2026-09-22,8:30:00,612,28.9,68.2
2026-09-22,8:30:30,595,29,68.4
2026-09-22,8:31:00,592,29.1,68.2
2026-09-22,8:31:30,598,29.2,68.3
2026-09-22,8:32:00,609,29.3,68.1
2026-09-22,8:32:30,619,29.3,67.6
2026-09-22,8:33:00,615,29.3,67.1
2026-09-22,8:33:30,608,29.3,67
2026-09-22,8:34:00,604,29.5,67.1
2026-09-22,8:34:30,608,29.5,67.2
2026-09-22,8:35:00,614,29.6,67
2026-09-22,8:35:31,621,29.6,67.3
2026-09-22,8:36:01,625,29.5,66.5
2026-09-22,8:36:31,620,29.6,66.4
2026-09-22,8:37:01,621,29.6,66.2
2026-09-22,8:37:31,616,29.4,66
2026-09-22,8:38:01,606,29.5,65.9
2026-09-22,8:38:31,598,29.6,65.8
2026-09-22,8:39:01,592,29.6,65.8
2026-09-22,8:39:31,594,29.6,66
2026-09-22,8:40:01,596,29.6,65.8
2026-09-22,8:40:31,599,29.7,65.7
2026-09-22,8:41:01,600,29.7,65.6
2026-09-22,8:41:31,602,29.7,65.5
2026-09-22,8:42:01,594,29.6,65
2026-09-22,8:42:31,570,29.5,65.4
2026-09-22,8:43:01,557,29.6,65.3
2026-09-22,8:43:31,559,29.6,64.9
2026-09-22,8:44:01,558,29.5,65
2026-09-22,8:44:31,555,29.6,64.9
2026-09-22,8:45:01,558,29.7,65.2
2026-09-22,8:45:31,579,29.8,65.4
2026-09-22,8:46:01,597,29.8,65.4
2026-09-22,8:46:31,603,29.8,65.1
2026-09-22,8:47:01,600,29.5,64.7
2026-09-22,8:47:32,568,29.6,64.9
2026-09-22,8:48:02,554,29.6,64.9
2026-09-22,8:48:32,558,29.8,65.3
2026-09-22,8:49:02,575,29.8,65.1
2026-09-22,8:49:32,587,29.9,65.1
2026-09-22,8:50:02,595,29.8,64.8
2026-09-22,8:50:32,594,29.8,64.7
2026-09-22,8:51:02,587,29.8,64.5
2026-09-22,8:51:32,583,29.6,64.3
2026-09-22,8:52:02,573,29.5,64.3
2026-09-22,8:52:32,564,29.6,64.5
2026-09-22,8:53:02,563,29.7,64.5
2026-09-22,8:53:32,570,29.9,64.8
2026-09-22,8:54:02,597,30,64.6
2026-09-22,8:54:32,604,29.9,64
2026-09-22,8:55:02,590,29.9,63.2
2026-09-22,8:55:32,568,29.9,63.2
2026-09-22,8:56:02,563,29.9,63.2
2026-09-22,8:56:32,565,30,63.5
2026-09-22,8:57:02,589,30.1,63.8
2026-09-22,8:57:32,591,30.1,63.2
2026-09-22,8:58:02,588,30,62.4
2026-09-22,8:58:32,577,29.9,62.2
2026-09-22,8:59:02,555,30,62
2026-09-22,8:59:32,549,29.9,62.1
2026-09-22,9:00:03,547,30,62.3
2026-09-22,9:00:33,550,30.1,62.2
2026-09-22,9:01:03,553,30,61.9
2026-09-22,9:01:33,553,30.1,62
2026-09-22,9:02:03,558,30.2,62.2
2026-09-22,9:02:33,563,30.1,61.8
2026-09-22,9:03:03,563,30.1,61.8
2026-09-22,9:03:33,558,30,61.8
2026-09-22,9:04:03,551,29.6,61.9
2026-09-22,9:04:33,529,29.7,62.4
2026-09-22,9:05:03,526,29.9,61.9
2026-09-22,9:05:33,529,29.9,61.2
2026-09-22,9:06:03,526,29.8,61.4
2026-09-22,9:06:33,521,30,61.5
2026-09-22,9:07:03,526,30.1,61.7
2026-09-22,9:07:33,567,30.1,61.9
2026-09-22,9:08:03,578,30,61.3
2026-09-22,9:08:33,561,29.9,60.9
2026-09-22,9:09:03,545,29.9,60.8
2026-09-22,9:09:33,542,30,61
2026-09-22,9:10:03,554,30,61.8
2026-09-22,9:10:34,610,30.1,61.6
2026-09-22,9:11:04,608,30.2,61.3
2026-09-22,9:11:34,603,30.2,60.8
2026-09-22,9:12:04,595,30,60.5
2026-09-22,9:12:34,560,30,60.8
2026-09-22,9:13:04,539,30.1,60.7
2026-09-22,9:13:34,537,30.2,60.7
2026-09-22,9:14:04,547,30.3,60.6
2026-09-22,9:14:34,554,30.3,60.7
2026-09-22,9:15:04,565,30.3,60.9
2026-09-22,9:15:34,568,30.3,60.4
2026-09-22,9:16:04,568,30.3,60.4
2026-09-22,9:16:34,570,30.4,60.6
2026-09-22,9:17:04,572,30.4,60.4
2026-09-22,9:17:34,571,30.4,60.6
2026-09-22,9:18:04,577,30.5,61.1
2026-09-22,9:18:34,591,30.5,60.8
2026-09-22,9:19:04,593,30.5,60.7
2026-09-22,9:19:34,601,30.5,60.9
2026-09-22,9:20:04,605,30.5,60.6
2026-09-22,9:20:34,600,30.5,60.5
2026-09-22,9:21:04,594,30.6,60.5
2026-09-22,9:21:34,594,30.5,60.5
2026-09-22,9:22:04,589,30.5,60.4
2026-09-22,9:22:34,586,30.5,60.7
2026-09-22,9:23:04,589,30.6,60.7
2026-09-22,9:23:35,594,30.6,60.9
2026-09-22,9:24:05,593,30.6,60.5
2026-09-22,9:24:35,591,30.6,60.7
2026-09-22,9:25:05,587,30.6,60.7
2026-09-22,9:25:35,589,30.7,61
2026-09-22,9:26:05,592,30.6,60.6
2026-09-22,9:26:35,579,30.4,60.5
2026-09-22,9:27:05,536,30.4,60.8
2026-09-22,9:27:35,545,30.2,60.5
2026-09-22,9:28:05,539,30.1,60.9
2026-09-22,9:28:35,540,30.3,60.7
2026-09-22,9:29:05,547,30.4,60.9
2026-09-22,9:29:35,562,30.5,60.9
2026-09-22,9:30:05,583,30.6,60.8
2026-09-22,9:30:35,594,30.7,60.5
2026-09-22,9:31:05,603,30.7,60.8
2026-09-22,9:31:35,609,30.7,60.5
2026-09-22,9:32:05,609,30.7,60.4
2026-09-22,9:32:35,606,30.7,59.4
2026-09-22,9:33:05,594,30.7,59.3
2026-09-22,9:33:35,585,30.7,59.5
2026-09-22,9:34:05,583,30.7,59.9
2026-09-22,9:34:35,589,30.5,59.5
2026-09-22,9:35:06,588,30.7,59.2
2026-09-22,9:35:36,581,30.7,58.6
2026-09-22,9:36:06,577,30.8,58.7
2026-09-22,9:36:36,580,30.8,59.2
2026-09-22,9:37:06,586,30.9,59.3
2026-09-22,9:37:36,589,30.9,58.6
2026-09-22,9:38:06,589,30.8,57.8
2026-09-22,9:38:36,588,30.9,58.1
2026-09-22,9:39:06,590,30.8,57.5
2026-09-22,9:39:36,578,30.7,57.8
2026-09-22,13:15:56,1071,30.6,49.6
2026-09-22,13:16:26,603,30.8,44.3
2026-09-22,13:16:56,516,31,43.8
2026-09-22,13:17:26,508,31.1,43.5
2026-09-22,13:17:56,509,31.3,43.6
2026-09-22,13:18:26,508,31.3,42.7
2026-09-22,13:18:56,503,31.3,43
2026-09-22,13:19:27,503,31.4,43.4
2026-09-22,13:19:57,504,31.4,42.6
2026-09-22,13:20:27,503,31.6,43.4
2026-09-22,13:20:57,508,31.6,43.6
2026-09-22,13:21:27,513,31.6,42.5
2026-09-22,13:21:57,510,31.6,42.1
2026-09-22,13:22:27,507,31.7,42.1
2026-09-22,13:22:57,503,31.7,42.3
2026-09-22,13:23:27,503,31.8,41.7
2026-09-22,13:23:57,507,31.8,42.4
2026-09-22,13:24:27,512,31.8,42.8
2026-09-22,13:24:57,525,31.8,43
2026-09-22,13:25:27,558,31.7,43.4
2026-09-22,13:25:57,586,31.6,43.5
2026-09-22,13:26:27,613,31.5,43.3
2026-09-22,13:26:57,651,31.5,43.2
2026-09-22,13:27:27,677,31.3,43.1
2026-09-22,13:27:57,691,31.2,42.7
2026-09-22,13:28:28,707,31.1,42.7
2026-09-22,13:28:58,718,30.9,43
2026-09-22,13:29:28,734,30.8,42.8
2026-09-22,13:29:58,751,30.7,42.6
2026-09-22,13:30:28,779,30.7,42.6
2026-09-22,13:30:58,804,30.4,43
2026-09-22,13:31:28,809,30.4,43.4
2026-09-22,13:31:58,800,30.5,43.2
2026-09-22,13:32:28,829,30.3,43.3
2026-09-22,13:32:58,888,30.1,43.8
2026-09-22,13:33:28,862,30,44.2
2026-09-22,13:33:58,864,30.1,44.1
2026-09-22,13:34:28,920,29.9,44.4
2026-09-22,13:34:58,943,29.8,44.9
2026-09-22,13:35:28,940,29.9,45
2026-09-22,13:35:58,942,29.9,45.2
2026-09-22,13:36:28,947,29.9,45.3
2026-09-22,13:36:58,956,29.9,45.5
2026-09-22,13:37:28,978,29.8,45.8
